username,userid,profile_location,created_at,text,retweet_count,source,coordinates
-emma-,1595219306073116672,la,2023-01-22 23:41:17,bro why is asian hate still a thing. i get touched in places i know all girls dont want to be touched. #StopAsianHate,0,Twitter Web App,
Preparing for 2024,36506042,Los Angeles,2023-01-22 22:45:17,"I'm hesitating to repost this, because so many of my allies out here doing #stopasianhate are 2A, and I respect the… https://t.co/bK2fm5mnAw",0,Twitter Web App,
Herbalaria,781007909723463680,East Hollywood,2023-01-22 21:14:05,Sending out prayers &amp; condolences to all the families who lost loved ones in the horrific mass shooting in Monterey… https://t.co/DU7tQIbYet,0,Twitter for Android,
Tori Letzler,1242672589,"Los Angeles, CA",2023-01-22 20:55:37,"The Monterrey Park shooting took place about 20 min from me, at a community Lunar New Year celebration. The whole s… https://t.co/xghwh3EE68",2,Twitter for iPhone,
Mitsuko “Suki”,2547018524,LA,2023-01-22 20:26:09,"@kinglioncrown I want to add, the gunman being an Asian person doesn’t dismiss the very real issues that Asian peop… https://t.co/LQ4VAEdvwH",0,Twitter for iPhone,
Christian Esteban,98049784,"Los Angeles, CA",2023-01-22 20:14:57,Prayers and condolences to the Monterey Park shooting victims 🙏🏻🙏🏻🙏🏻 #StopAsianHate https://t.co/c9onTAZga9,0,Twitter for iPhone,
Danielle Broadway,1229221173814185984,"Santa Monica, CA",2023-01-22 19:48:20,"When it comes to gun violence, the US is reactionary but never revolutionary. My heart aches for #MontereyPark, the… https://t.co/M3I054ZSwl",1,Twitter Web App,
Nurse Epidemiologist and Infection Preventionist,1347369554280804355,"Los Angeles, CA",2023-01-22 18:57:36,Our family was on the way out the door to attend when we heard the news. Our thoughts are with the victims and thei… https://t.co/Oedm8zDmwo,0,LinkedIn,
Nurse Epidemiologist and Infection Preventionist,1347369554280804355,"Los Angeles, CA",2023-01-22 18:55:05,Our family was on the way out the door this morning to attend when we heard the news. Our thoughts are with the vic… https://t.co/eSUMnJ7RJM,0,Twitter Web App,
p🙋🏻‍♀️🤫,1574479647613472768,"Los Angeles, CA",2023-01-22 18:52:34,Devastated. Angry. Scared. Determined. So many emotions on this Lunar New Year weekend. #StopAsianHate https://t.co/kBK0mQmxcz,0,Twitter for iPhone,
Dorothy Kozak Snoke,1115967726315425796,"Los Angeles, CA",2023-01-22 18:29:02,Shock and heartbreak this morning in LA… was just at a Lunar New Year celebration yesterday with a dear friend and… https://t.co/j1ecsdFMIk,4,Twitter for iPhone,
Ron Ogden,15945689,"Los Angeles, CA",2023-01-22 18:16:37,I’m confident that the community will thrive despite this horrific terrorist attack but right now they are hurting… https://t.co/hMqwY5yXoz,1,Twitter for iPhone,
Feodor Chin 🇺🇸❄️,267388396,"Los Angeles, CA",2023-01-22 18:03:58,"Lose the guns. Keep the lives.
#GunControlNow #StopAsianHate #LunarNewYear #ChineseNewYear #YearOfTheRabbit #MontereyPark #EnoughlsEnough",0,Twitter for iPhone,
Being Cousteau ✨✊🏾✨,77048931,"Los Angeles, CA",2023-01-22 17:57:38,Heartbreaking 😢 #MontereyPark #StopAsianHate https://t.co/jCz05Oz0go,0,Twitter for iPhone,
Kevin Andrew Rivera,786012968,"Los Angeles, CA",2023-01-22 17:41:05,This is not ok. It’s NEVER ok. Are there any organizations we can donate to? Anybody got any links? I wanna help in… https://t.co/zmz7yqRo1q,0,Twitter for iPhone,
Ron Ogden,15945689,"Los Angeles, CA",2023-01-22 17:31:33,#StopAsianHate #MontereyPark My heart goes out to the families affected by this senseless tragedy. Hug your loved o… https://t.co/aoiLCQbD7L,2,Twitter for iPhone,
💜 Deb⁷🫰💜,1382571798152183808,"Los Angeles, CA",2023-01-22 17:06:58,"This is why I have twitter to get news!  Because this is what I looked like at midnight, googling “Monterey Park” a… https://t.co/c017BR1AoM",0,Twitter for iPhone,
Feodor Chin 🇺🇸❄️,267388396,"Los Angeles, CA",2023-01-22 16:59:18,"May this be the year we can finally #StopAsianHate and have #GunControlNow.
#LunarNewYear #ChineseNewYear #YearOfTheRabbit #MontereyPark",3,Twitter for iPhone,
Heidi,923056113439952896,"Los Angeles, CA",2023-01-22 16:55:12,@TomthunkitsMind We are NOT at war with China and by posting this hysterical screed you are spreading anti-Asian ha… https://t.co/WjszoAHsqV,0,Twitter for iPhone,
Don Portocarrero,1144807131708715008,"Los Angeles, CA",2023-01-22 16:46:40,"I'm very sad to hear about this terrible act of #GUNviolence in #MontereyPark 
I had an office close to where this… https://t.co/jeFyY5oNZq",0,Twitter for Android,
Ty Chen,1138982045567160321,"Los Angeles, CA",2023-01-22 16:43:02,"I am so pissed off. This keeps happening and we are constantly being targeted as we have been since the 1800s, and… https://t.co/WYotRIU4Ub",2,Twitter Web App,
Sean Finnegan,131773262,Los Angeles,2023-01-22 16:35:59,"I can’t believe I’m waking up to news of yet another mass shooting, this time in Monterey Park, an area that’s pred… https://t.co/fb681vfPOA",6,Twitter for iPhone,
Kristen Luckhurst,1375483876244664322,Los Angeles,2023-01-22 16:29:48,I can't believe I have to wake up to this. Can we have just one day without a shooting? Or without any racist or ho… https://t.co/BGgQHSseCS,0,Twitter Web App,
krista moll,13592812,"Pasadena, CA",2023-01-22 16:28:22,I’ve never been so scared to open up social media than hearing about the mass shooting in #MontereyPark. These are… https://t.co/8mYe0SXR4A,0,Twitter for iPhone,
Sheeda 🏌🏾‍♀️🇺🇦 #BrittneyGrinerisFREE,236584290,"Los Angeles, CA",2023-01-22 16:23:46,"@Victorshi2020 @MeidasTouch It’s tragic to wake up to this, esp today, and esp there 🤦🏾‍♀️🫶🏾😭 #StopAsianHate",2,Twitter for iPhone,
Jack Chou,138528152,"San Marino, CA",2023-01-22 16:01:51,"Stop #GunViolence #NeedActionNow on #LunarNewYear2023 10 people killed, 10 injured in #MassShooting @MontereyPark d… https://t.co/BgwLlX2Nuf",0,Twitter for iPhone,
"Jack Der-Sarkissian, MD",17280751,Los Angeles,2023-01-22 15:57:27,@CityofMPK @MontereyParkRec “Darkness cannot drive only darkness; only Light can do that. Hate cannot drive out hat… https://t.co/pcaWN9lyHr,1,Twitter for iPhone,
Ethan is now @deverbovitae@bibly.com,201967487,"Los Angeles, CA",2023-01-22 15:52:28,"May God comfort, strengthen, and sustain all who mourn regarding the mass shooting in #MontereyPark.  

#StopAsianHate",0,Twitter Web App,
Kelly Yang,201781612,"Los Angeles, CA",2023-01-22 15:49:51,Happy lunar new year…I’m heartbroken. I grew up near Monterey Park. It is one of the biggest AAPI communities in th… https://t.co/CcFY3kyHWX,21,Twitter for iPhone,
Tyler Kupferer,17888932,"Burbank, CA",2023-01-22 15:29:05,"Shocked and heartbroken at the attack on the Monterey Park community. It's extra scary when it's so close to home,… https://t.co/RvqHEgAfuM",3,Twitter Web App,
KS,104316348,"West Los Angeles, Los Angeles",2023-01-22 15:23:46,"10 killed. 10 wounded. Monterey Park, Ca. #StopAsianHate 
Gunman was not found.

A night of Lunar New Year celebrat… https://t.co/hWrPpFwXi2",0,Twitter for Android,
Charlie Pevey 🦒👦,82805833,San Gabriel Valley,2023-01-22 14:53:16,"omg 10 dead

Can't say it doesn't happen in the SGV anymore 😥

I'm originally from Monterey Park. Nothing like this… https://t.co/EzsdGf8MMu",0,Twitter for Android,
BodiGuard,1403819017060503554,"Los Angeles, CA",2023-01-22 14:01:10,"@SimuLiu Thank you for posting Simu, but you forgot to talk about the one big elephant in the room, which is anti-A… https://t.co/9mUGYduPRm",0,Twitter for iPhone,
Lina,1306434587891957760,"Los Angeles, CA",2023-01-22 14:00:54,Wtf is wrong with these evil people ? Praying for the family’s this is so sad and it happened so close to home like… https://t.co/HlDcf30XDS,0,Twitter for iPhone,
World Citizen,247379602,Los Angeles,2023-01-22 13:34:58,"Welp, there you have it.
Homeland Security has been notified.

#MontereyPark 
#StopAsianHate",0,Twitter Web App,
World Citizen,247379602,Los Angeles,2023-01-22 12:51:48,"Guy interviewed on ABC7:
“It's sad, but...”

A WEAK, pathetic, mindset. 
Dismissive. Passively accepting a reality… https://t.co/YxjL5l5oB8",1,Twitter Web App,
World Citizen,247379602,Los Angeles,2023-01-22 12:24:33,"All #LunarNewYear events nationwide are vulnerable.
Total shame many will have to cancel for fear of breach of safe… https://t.co/6qWwmGr2IM",0,Twitter Web App,
World Citizen,247379602,Los Angeles,2023-01-22 11:53:59,"#StopAsianHate 

If you don't CONDEMN this you are part of the problem.
Numb and desensitized is weak. RISE UP.

#MontereyPark",1,Twitter Web App,
Meh And Nah,1596706397076434944,"Pasadena, CA",2023-01-22 11:04:34,"@GavinNewsom please, let’s ban assault weapons in California. It would be a start anyway.  #montereypark #masscasualty #StopAsianHate",0,Twitter for iPhone,
